Tên Công Ty,Địa Chỉ,Thành Phố,Số Điện Thoại,Ngành,Google Maps Link,Rating Google Maps,Số Lượt Đánh Giá,Ghi Chú
"BSE VIETNAM CO.,LTD","Ba Hang I.C, Ai Quoc, Hai Duong",HAI DUONG,+842203574567,"전자, 전기 제조업","https://www.google.com/maps/search/BSE+VIETNAM+CO.,LTD+HAI+DUONG+Vietnam",,,
BSL NETWORKS,"14 Ben Lang, Dang Lam, Hai An, Hai phong",HAI PHONG,+842253614495,"물류, 운수, 여행업",https://www.google.com/maps/search/BSL+NETWORKS+HAI+PHONG+Vietnam,4.1,,
BSR VIETNAM,"6 floors THANH HANG PLAZA, No. 180A Tran Duy Hung, Trung Hoa, Cau Giay, Hanoi BRANCH: 19 Bach Dang, P 2, Tan Binh Dist, HO CHI MINH",HA NOI,+842432123961,법무.회계.투자자문,https://www.google.com/maps/search/BSR+VIETNAM+HA+NOI+Vietnam,3.8,,
BTB INTERNATIONAL COMPANY LIMITED,"So 2 Phuoc Truong 9, P.Phuoc My, Son Tra, Da Nang",DA NANG,,제조업,https://www.google.com/maps/search/BTB+INTERNATIONAL+COMPANY+LIMITED+DA+NANG+Vietnam,4.3,,
"BU GWANG VINA CO.,LTD","No. 160 Nguyen Van Cu, Thi Tran Gia Binh, Gia Binh, Bac Ninh",BAC NINH,+842226545588,"전자, 전기 제조업","https://www.google.com/maps/search/BU+GWANG+VINA+CO.,LTD+BAC+NINH+Vietnam",4.6,,
BU IL VINA LIMITED COMPANY,"Factory X2 – Hai Thanh factory for rent, Hai Thanh, Duong Kinh, Hai Phong",HAI PHONG,+842258830270,제조업,https://www.google.com/maps/search/BU+IL+VINA+LIMITED+COMPANY+HAI+PHONG+Vietnam,4.6,,
"BU KWANG VINA CO., LTD","Tu Da Village, Phu Ninh District, Phu Tho",PHU THO,+842103770227,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/BU+KWANG+VINA+CO.,+LTD+PHU+THO+Vietnam",4.3,,
BUIL,"B19 Khu Dabaco Bo Son, Vo Cuong, Bac Ninh",BAC NINH,+842227306880,"유통, 도소매, 무역",https://www.google.com/maps/search/BUIL+BAC+NINH+Vietnam,,,
BUJEON VIETNAM ELECTRONICS,"Widen Que Vo I.Z, Bac Ninh",BAC NINH,+842223617842,"전자, 전기 제조업",https://www.google.com/maps/search/BUJEON+VIETNAM+ELECTRONICS+BAC+NINH+Vietnam,5.0,,
BUMHAN CABLE & SYSTEM,"Lot E2, Road No. 3 and No. 7, Hoa Khanh I.Z, Da Nang",DA NANG,+842363787993,"전자, 전기 제조업",https://www.google.com/maps/search/BUMHAN+CABLE+&+SYSTEM+DA+NANG+Vietnam,4.6,,
BUMIL ENG COMPANY LIMITED,"Residential Group No. 13, Tran Thanh Ngo, Kien An, Hai Phong",HAI PHONG,+84356839444,건설 및 건설자재,https://www.google.com/maps/search/BUMIL+ENG+COMPANY+LIMITED+HAI+PHONG+Vietnam,4.3,,
BUMIL ENGINEERING & GENERAL CONSTRUCTION,"19th Floor, Block B Song Da Building, Pham Hung, My Dinh 1, Nam Tu Liem, Hanoi",HA NOI,+842432272341,건설 및 건설자재,https://www.google.com/maps/search/BUMIL+ENGINEERING+&+GENERAL+CONSTRUCTION+HA+NOI+Vietnam,3.9,,
BUMJIN ELECTRONICS VINA COMPANY LIMITED,"Lot CN-04, KCN Dong Mai, Dong Mai, Quang Yen, Quang Ninh",QUANG NINH,+84862492260,"전자, 전기 제조업",https://www.google.com/maps/search/BUMJIN+ELECTRONICS+VINA+COMPANY+LIMITED+QUANG+NINH+Vietnam,4.5,,
BUMMI VIETNAM,"No.69/335 Nguyen Trai, Thanh Xuan Trung, Thanh Xuan, Hanoi",HA NOI,+842437878952,건설 및 건설자재,https://www.google.com/maps/search/BUMMI+VIETNAM+HA+NOI+Vietnam,4.4,,
"BUMYANG INNO AIR CONDITIONING VIETNAM CO.,LTD","B House, Lot B, X3 project, Cau Dien, Nam Tu Liem, Hanoi",HA NOI,,건설 및 건설자재,"https://www.google.com/maps/search/BUMYANG+INNO+AIR+CONDITIONING+VIETNAM+CO.,LTD+HA+NOI+Vietnam",4.1,,
BURIM CHEMICAL VINA,"3D center, 3 Duy Tan, Dich Vong, Cau Giay, Hanoi",HA NOI,,"유통, 도소매, 무역",https://www.google.com/maps/search/BURIM+CHEMICAL+VINA+HA+NOI+Vietnam,4.5,,
"BURIM VINA CO.,LTD","Nho Trang, Vinh Khuc, Van Giang, Hung Yen",HUNG YEN,+842213980265,"유통, 도소매, 무역","https://www.google.com/maps/search/BURIM+VINA+CO.,LTD+HUNG+YEN+Vietnam",4.4,,
BUSAN BANK HA NOI REPRESENTATIVE OFFICE,"No.3109, 31F, East Tower, Lotte Center Hanoi, 54 Lieu Giai, Ba Dinh, Ha Noi",HA NOI,+842432321736,"금융, 보험",https://www.google.com/maps/search/BUSAN+BANK+HA+NOI+REPRESENTATIVE+OFFICE+HA+NOI+Vietnam,4.3,,
BUSINESS COST MANAGEMENT,"11th Fl., no 6, Ton That Thuyet, Cau Giay, Hanoi",HA NOI,+849624011880,법무.회계.투자자문,https://www.google.com/maps/search/BUSINESS+COST+MANAGEMENT+HA+NOI+Vietnam,3.9,,
"BUY ALL FOOD CO.,LTD","Lo T318, T3 TT mua sam Aeonmall Long Bien, Co Linh, Long Bien, Hanoi",HA NOI,+842466547711,"숙박, 요식, 급식","https://www.google.com/maps/search/BUY+ALL+FOOD+CO.,LTD+HA+NOI+Vietnam",4.5,,
BW INDUSTRIAL DEVELOPMENT JSC,"Add 1 : Floor 9, Vinaconex Bld, 34 Lang Ha, Lang Ha, Dong Da, Hanoi Add 2 : F8, Pearl Plaza Tower 561A Dien Bien Phu, Binh Thanh, HO CHI MINH Add 3 : Floor 17, Becamex Tower, 230 Binh Duong Boulevard, Phu Hoa, Thu Dau Mot, Binh Duong Add 4 : VSIP Bac Ninh, 1 Huu Nghi, Phu Chan, Tu Son, Bac Ninh",HA NOI,,부동산개발.임대,https://www.google.com/maps/search/BW+INDUSTRIAL+DEVELOPMENT+JSC+HA+NOI+Vietnam,4.5,,
BYEOK JIN VINA COMPANY LIMITED,"Lot 76-85 Zone A, KCN Dinh Huong - Tay Bac Ga, Dong Linh, Thanh Hoa",THANH HOA,,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/BYEOK+JIN+VINA+COMPANY+LIMITED+THANH+HOA+Vietnam,4.5,,
"C&J TRADING CO.,LTD","No 02-D, Lane A10 Nam Trung Yen, Yen Hoa, Cau Giay, Hanoi",HA NOI,+842485820266,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/C&J+TRADING+CO.,LTD+HA+NOI+Vietnam",4.5,,
"C&N VINA TAM ANH - KOREA CO.,LTD","Chu Lai Open Economic Zone, Tam Anh Bac, Nui Thanh, Quang Nam",QUANG NAM,+842836202724,건설 및 건설자재,"https://www.google.com/maps/search/C&N+VINA+TAM+ANH+-+KOREA+CO.,LTD+QUANG+NAM+Vietnam",4.6,,
"C&Y VINA CO.,LTD","G14, QUE VO, PHUONG LIEU, QUE VO, BAC NINH",BAC NINH,+842223952159,제조업,"https://www.google.com/maps/search/C&Y+VINA+CO.,LTD+BAC+NINH+Vietnam",4.4,,
"CA DESIGN CO.,LTD","D5, Fivestar Mỹ ĐÌnh(ngõ 176 Đình Thôn), Nam Tu Liem, Hanoi",HA NOI,+842462591088,"교육, 매체, 인쇄, 광고","https://www.google.com/maps/search/CA+DESIGN+CO.,LTD+HA+NOI+Vietnam",4.4,,
"CAIS VINA ELECTRONICS CO.,LTD","CAISVINA, Lo CN 11, Khu cong nghiep Nam Cau Kien, Hai Phong",HAI PHONG,+842253645738,"전자, 전기 제조업","https://www.google.com/maps/search/CAIS+VINA+ELECTRONICS+CO.,LTD+HAI+PHONG+Vietnam",4.4,,
"CAMMSYS VIETNAM CO.,LTD.","KCN Bá Thiện, Thị trấn Bá Hiến, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc BRANCH: KCN Bá Thiện, Thị trấn Bá Hiến, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc",VINH PHUC,+842113888001,"전자, 전기 제조업","https://www.google.com/maps/search/CAMMSYS+VIETNAM+CO.,LTD.+VINH+PHUC+Vietnam",4.3,,
Campus-K,"15F, Toa Nha Song Da, Thap B, My Dinh, Hanoi",HA NOI,,기타,https://www.google.com/maps/search/Campus-K+HA+NOI+Vietnam,,,
"CANA ASAHI VINA Co.,Ltd","Tang 6, so nha 127, to 3, Dong Anh, Hanoi",HA NOI,+842433997799,제조업,"https://www.google.com/maps/search/CANA+ASAHI+VINA+Co.,Ltd+HA+NOI+Vietnam",4.4,,
"CANAYOUNG CO.,LTD","203 Hung Vuong, Hai Chau, Da Nang",DA NANG,+842367307302,"유통, 도소매, 무역","https://www.google.com/maps/search/CANAYOUNG+CO.,LTD+DA+NANG+Vietnam",3.8,,
"CAP GLOBAL CO., LTD","Luong Som I.P, Hoa Son, Luong Son, Hoa Binh",HOA BINH,+842183906079,제조업,"https://www.google.com/maps/search/CAP+GLOBAL+CO.,+LTD+HOA+BINH+Vietnam",4.2,,
CAPELLA LAND JSC,"Add : 26F, Vinaconex 9, Lot HH2-2, Pham Hung, Hanoi",HA NOI,,부동산개발.임대,https://www.google.com/maps/search/CAPELLA+LAND+JSC+HA+NOI+Vietnam,4.4,,
"CAPICHI VIETNAM CO., LTD","6F, 80 Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy",HA NOI,+84982414024,"통신, IT, SW","https://www.google.com/maps/search/CAPICHI+VIETNAM+CO.,+LTD+HA+NOI+Vietnam",4.2,,
"CAPITALAND HOANG THANH CO.,LTD","CT08, Co Ngua Area, Mo Lao, Ha Dong, Hanoi",HA NOI,+842439393232,부동산개발.임대,"https://www.google.com/maps/search/CAPITALAND+HOANG+THANH+CO.,LTD+HA+NOI+Vietnam",4.6,,
"CARGO ROAD VIETNAM CO.,LTD","4F, 15A Nguyen Khang, Cau Giay, Hanoi",HA NOI,+842437835877,"물류, 운수, 여행업","https://www.google.com/maps/search/CARGO+ROAD+VIETNAM+CO.,LTD+HA+NOI+Vietnam",4.0,,
CARGO RUSH INTERNATIONAL,"77 Nguyen Trong Loi, Phuong 4, Quan Tan Binh, TP HO CHI MINH",HA NOI,+842839480931,"물류, 운수, 여행업",https://www.google.com/maps/search/CARGO+RUSH+INTERNATIONAL+HA+NOI+Vietnam,4.1,,
CARGOROWORLD NETWORKS VIETNAM,"1305, Charmvit Tower, 117 Tran Duy Hung, Cau Giay, Hanoi",HA NOI,+842435551883,"물류, 운수, 여행업",https://www.google.com/maps/search/CARGOROWORLD+NETWORKS+VIETNAM+HA+NOI+Vietnam,4.7,,
CARGOSTAR LOGIS VIETNAM,"12F, No.169, Nguyen Ngoc Vu, Cau Giay, Hanoi",HA NOI,+842432216431,"물류, 운수, 여행업",https://www.google.com/maps/search/CARGOSTAR+LOGIS+VIETNAM+HA+NOI+Vietnam,4.3,,
"CARPOST CO.,LTD","HOME CITY, Nguyen Chanh, Cau Giay, Hanoi",HA NOI,+842466640351,"유통, 도소매, 무역","https://www.google.com/maps/search/CARPOST+CO.,LTD+HA+NOI+Vietnam",4.6,,
CAS,"No.1 BT2 Trung Van house area, Trung Van, Nam Tu Liem, Hanoi",HA NOI,+842435771048,제조업,https://www.google.com/maps/search/CAS+HA+NOI+Vietnam,4.0,,
CASTIS,"TASCO Tower (Vinaconex 9), Pham Hung Nam Tu Liem Ha Noi",HA NOI,+84378926107,"통신, IT, SW",https://www.google.com/maps/search/CASTIS+HA+NOI+Vietnam,4.4,,
CBRE VIETNAM,"6th Floor, BIDV Tower, No. 194 Tran Quang Khai, Ly Thai To, Hanoi",HA NOI,+842422200220,부동산개발.임대,https://www.google.com/maps/search/CBRE+VIETNAM+HA+NOI+Vietnam,4.1,,
"CELL BIO HUMAN TECH VINA CO.,LTD","Lot B2, Tam Thang I.P, Tam Thang, Tam Ky, Quang Nam",QUANG NAM,,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/CELL+BIO+HUMAN+TECH+VINA+CO.,LTD+QUANG+NAM+Vietnam",4.6,,
"CENTURY GLOBAL VINA CO.,LTD","15F, Nam Cuong B/D, Km4, To Huu, La Khe, Ha Dong, Hanoi",HA NOI,+842462693368,"유통, 도소매, 무역","https://www.google.com/maps/search/CENTURY+GLOBAL+VINA+CO.,LTD+HA+NOI+Vietnam",4.0,,
"CENTURY SANUP VINA CO.,LTD","No 47-49, N1 Street, Phu Huu, Thu Duc, HO CHI MINH",HO CHI MINH,+842822537870,"전자, 전기 제조업","https://www.google.com/maps/search/CENTURY+SANUP+VINA+CO.,LTD+HO+CHI+MINH+Vietnam",5.0,,
CEO SUITE VIETNAM,"29th Floor East Tower, Hanoi Lotte Center, 54 Lieu Giai, Cong Vi, Ba Dinh, Hanoi",HA NOI,+842432673999,"대표사무소, 지사",https://www.google.com/maps/search/CEO+SUITE+VIETNAM+HA+NOI+Vietnam,4.4,,
"CES HOLDINGS VINA CO.,LTD","BT8, VINECO 2, PHUONG TRUNG HOA, QUAN CAU GIAY, TP HAANOI, VIETNAM",HA NOI,+84857340008,"환경, 설비, 기계","https://www.google.com/maps/search/CES+HOLDINGS+VINA+CO.,LTD+HA+NOI+Vietnam",4.3,,
"CESCO VIETNAM CO.,LTD – HA NOI BRANCH","2 Floor, OCT 1 B/D, KDT Co Nhue, Xuan Dinh, Bac Tu Liem DISTRICT, Ha Noi city, Vietnam",HA NOI,+842438371199,"환경, 설비, 기계","https://www.google.com/maps/search/CESCO+VIETNAM+CO.,LTD+–+HA+NOI+BRANCH+HA+NOI+Vietnam",4.6,,
CHADIOSTECH VINA,"Binh Xuyen II I.Z, Binh Xuyen, VINH PHUC",VINH PHUC,+842113592730,제조업,https://www.google.com/maps/search/CHADIOSTECH+VINA+VINH+PHUC+Vietnam,3.8,,
CHAM VK COMPANY LIMITED,"24 Phan Boi Chau, Thach Thang, Hai Chau, Da Nang",DA NANG,+84915086570,"유통, 도소매, 무역",https://www.google.com/maps/search/CHAM+VK+COMPANY+LIMITED+DA+NANG+Vietnam,,,
CHANG AN VINA,"Lot T77 Diem Thuy I.Z A Hong Tien, Pho Yen, Thai Nguyen",THAI NGUYEN,+842083931822,제조업,https://www.google.com/maps/search/CHANG+AN+VINA+THAI+NGUYEN+Vietnam,4.4,,
"CHANG SUNG ONE MEMBER CO,. LTD","299 Hoang Van Thu Street, Hoang Van Thu Ward, Bac Giang City, Bac Giang Province",BAC GIANG,+842043528599,"환경, 설비, 기계","https://www.google.com/maps/search/CHANG+SUNG+ONE+MEMBER+CO,.+LTD+BAC+GIANG+Vietnam",4.3,,
CHANG SUNG VINA,"Dong Yen, Dong Phong, Yen Phong, Bac Ninh",BAC NINH,+842223893579,건설 및 건설자재,https://www.google.com/maps/search/CHANG+SUNG+VINA+BAC+NINH+Vietnam,4.2,,
"CHANGIL VINA CO.,LTD","Khac Niem I.C, Khac Niem, Bac Ninh, Bac Ninh",BAC NINH,+84988625065,"전자, 전기 제조업","https://www.google.com/maps/search/CHANGIL+VINA+CO.,LTD+BAC+NINH+Vietnam",4.2,,
CHANGWOO VINA ELECTRONICS,"Room 621, CIC Tower, No 2, 219 Lane, Trung Kinh, Yen Hoa, Cau Giay. Hanoi",HA NOI,,"유통, 도소매, 무역",https://www.google.com/maps/search/CHANGWOO+VINA+ELECTRONICS+HA+NOI+Vietnam,4.7,,
CHAO HOI AN COMPANY LIMITED,"570 Cua Dai, Son Phong, Hoi An, Quang Nam",QUANG NAM,+84938334319,"숙박, 요식, 급식",https://www.google.com/maps/search/CHAO+HOI+AN+COMPANY+LIMITED+QUANG+NAM+Vietnam,4.4,,
CHD VINA COMPANY LIMITED,"Lot 32N19, land plot number 59, map sheet number 81, Vo Cuong, Bac Nin",BAC NINH,+84965324198,"환경, 설비, 기계",https://www.google.com/maps/search/CHD+VINA+COMPANY+LIMITED+BAC+NINH+Vietnam,,,
"CHEIL INDUSTRIES INC. VIETNAM Co.,Ltd","3F, Yen Phong I.Z Operating Center, Long Chau, Yen Phong, Bac Ninh",BAC NINH,+842223699331,건설 및 건설자재,"https://www.google.com/maps/search/CHEIL+INDUSTRIES+INC.+VIETNAM+Co.,Ltd+BAC+NINH+Vietnam",4.6,,
CHEMILENS VIETNAM JSC,"Land lot XN42-1, Dai An I.P, Tu Minh, Hai Duong",HAI DUONG,+842203559260,제조업,https://www.google.com/maps/search/CHEMILENS+VIETNAM+JSC+HAI+DUONG+Vietnam,4.8,,
"CHEMTECH SOLUTION VINA CO.,LTD","Tien Son I.P (expanded area), Dong Nguyen, Tu Son, Tien Du, Bac Ninh",BAC NINH,+842223906244,제조업,"https://www.google.com/maps/search/CHEMTECH+SOLUTION+VINA+CO.,LTD+BAC+NINH+Vietnam",4.4,,
CHEONG SAN VINA,"Lot B4, Song Khe Noi Hoang IZ, Song Khe, Bac Giang",BAC GIANG,+842043855554,제조업,https://www.google.com/maps/search/CHEONG+SAN+VINA+BAC+GIANG+Vietnam,4.4,,
Cheong Song E&C,"Tien Son Industrial Park(Expanded Area), Dong Nguyen, Tu Son, Bac Ninh",BAC NINH,+842223906212,"환경, 설비, 기계",https://www.google.com/maps/search/Cheong+Song+E&C+BAC+NINH+Vietnam,4.1,,
CHEONGDAM RESTAURANT (TAESUNG GHTEC TRADING COMPANY LIMITED),"1st floor, Hop Phu Land building, new urban area Le Thai To street, Vo Cuong, Bac Ninh",BAC NINH,+84984610689,"숙박, 요식, 급식",https://www.google.com/maps/search/CHEONGDAM+RESTAURANT+(TAESUNG+GHTEC+TRADING+COMPANY+LIMITED)+BAC+NINH+Vietnam,4.0,,
"CHEONGHAK GLOVES VINA CO.,LTD","C1 Street, D4 Hoa Xa Industry Zone, Nam Dinh",NAM DINH,+84332140501,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/CHEONGHAK+GLOVES+VINA+CO.,LTD+NAM+DINH+Vietnam",4.3,,
CHEONIL LOGISTICS VIETNAM,"54 nguyen thi dinh, hanoi",HA NOI,+842437824941,"물류, 운수, 여행업",https://www.google.com/maps/search/CHEONIL+LOGISTICS+VIETNAM+HA+NOI+Vietnam,4.7,,
"CHI HOSPITALITY INTERNATIONAL CO., LTD","89 Yên Lãng, Thịnh Quang, Đống Đa, Hà Nội",HA NOI,+842435765770,"숙박, 요식, 급식","https://www.google.com/maps/search/CHI+HOSPITALITY+INTERNATIONAL+CO.,+LTD+HA+NOI+Vietnam",4.0,,
CHIA BAKERY & COFFEE,"Chia 271 Nguyễn Hoàng Tôn, Bắc Từ Liêm, Hà Nội Chia 117 Trần Duy Hưng, Cầu Giấy, Hà Nội Chia 104-A49 Thái Thịnh, Đống Đa, Hà Nội",HA NOI,+84917502426,"숙박, 요식, 급식",https://www.google.com/maps/search/CHIA+BAKERY+&+COFFEE+HA+NOI+Vietnam,4.6,,
Chicilon media,"F30, Lotte Center, No. 54 Lieu Giai Street, Cong Vi Ward, Ba Dinh District, Hanoi",HA NOI,+842435625666,기타,https://www.google.com/maps/search/Chicilon+media+HA+NOI+Vietnam,4.5,,
"CHONG RO HA NOI CO., LTD","No.52, The Shop House Area of Gamuda Gardens, Phap Van, Yen So, Hoang Mai, Hanoi City, Vietnam",HA NOI,+842473020304,"유통, 도소매, 무역","https://www.google.com/maps/search/CHONG+RO+HA+NOI+CO.,+LTD+HA+NOI+Vietnam",4.3,,
"CHOYANG TECH VINA CO.,LTD","LK1-N03 Splendora, An Khanh, Hoai Duc, Hanoi",HA NOI,+84901604687,제조업,"https://www.google.com/maps/search/CHOYANG+TECH+VINA+CO.,LTD+HA+NOI+Vietnam",4.4,,
"CHUN WOO CLEANING AND ENGINEERING Co.,Ltd","Lo 41C2, KCN Quang Minh, Thi tran Quang Minh, Me Linh, Hanoi",HA NOI,+842438182132,제조업,"https://www.google.com/maps/search/CHUN+WOO+CLEANING+AND+ENGINEERING+Co.,Ltd+HA+NOI+Vietnam",4.5,,
CHUNG AM VINA,"No.3, Hamlet 67, Nguyen Khai Trac , Mai Dich, Cau Giay, Hanoi",HA NOI,+842437921406,"환경, 설비, 기계",https://www.google.com/maps/search/CHUNG+AM+VINA+HA+NOI+Vietnam,4.0,,
CHUNG YEON KOREAN MEDICINE CENTER IN HA NOI,"No. B4, Five Star Urban Area, My Dinh 1, Nam Tu Liem, Hanoi",HA NOI,+84386875119,"병원, 의약, 위생, 의료",https://www.google.com/maps/search/CHUNG+YEON+KOREAN+MEDICINE+CENTER+IN+HA+NOI+HA+NOI+Vietnam,4.0,,
CHUNGCHEONGNAM-DO ECONOMIC PROMOTION AGENCY IN HA NOI CITY(CEPA),"15th Floor, No. 19 Le Van Luong, Nhan Chinh, Thanh Xuan, Hanoi",HA NOI,,"대표사무소, 지사",https://www.google.com/maps/search/CHUNGCHEONGNAM-DO+ECONOMIC+PROMOTION+AGENCY+IN+HA+NOI+CITY(CEPA)+HA+NOI+Vietnam,4.2,,
"CHUNGDANG VINA CO, LTD","Lot CN 5, Hop Thinh industrial cluster, Hop Thinh, Hiep Hoa, Bac Giang",BAC GIANG,+842042484868,제조업,"https://www.google.com/maps/search/CHUNGDANG+VINA+CO,+LTD+BAC+GIANG+Vietnam",,,
CHUNGHO VINA,"No.11, N04A Lot, Dich Vong Hau new urban area, Dich Vong ward, Cau Giay district, Hanoi",HA NOI,+84977405198,"유통, 도소매, 무역",https://www.google.com/maps/search/CHUNGHO+VINA+HA+NOI+Vietnam,3.8,,
CHUNGSOL COSCHEM VINA,"Lot CN8-3-4, Diem Thuy Iz., Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931562,제조업,https://www.google.com/maps/search/CHUNGSOL+COSCHEM+VINA+THAI+NGUYEN+Vietnam,4.4,,
"CHUNGWOO VINA CO.,LTD","Lot G11, Que Vo Industrial Zone, Phuong Lieu Commune, Que Vo district, Bac Ninh Province",BAC NINH,+842223903729,"전자, 전기 제조업","https://www.google.com/maps/search/CHUNGWOO+VINA+CO.,LTD+BAC+NINH+Vietnam",3.8,,
"ChungYang Foods Vietnam Co., Ltd","LO DAT 1/2 L3.5A KHU CN DO SON, TAN THANH, DUONG KINH, HAI PHONG. VIETNAM",HAI PHONG,+84799902569,제조업,"https://www.google.com/maps/search/ChungYang+Foods+Vietnam+Co.,+Ltd+HAI+PHONG+Vietnam",,,
"CJ KOREA EXPRESS FREIGHT VIETNAM CO.,LTD","3F, Trung Yen Plaza, No1 Trung Hoa, Cau Giay, Hanoi",HA NOI,+842435122560,"물류, 운수, 여행업","https://www.google.com/maps/search/CJ+KOREA+EXPRESS+FREIGHT+VIETNAM+CO.,LTD+HA+NOI+Vietnam",3.8,,
CJ SG SAFETY,"13th floor, ICON4 Building, 243A De La Thanh, Lang Thuong, Dong Da, Ha Noi",HA NOI,+84906908620,"물류, 운수, 여행업",https://www.google.com/maps/search/CJ+SG+SAFETY+HA+NOI+Vietnam,4.3,,
CJ VIETNAM,"Unit 1502, 15th Fl., CJ Building, 2Bis-4-6 Le Thanh Ton St., Dist. 1, HO CHI MINH",HO CHI MINH,+842838272302,"대표사무소, 지사",https://www.google.com/maps/search/CJ+VIETNAM+HO+CHI+MINH+Vietnam,4.7,,
CJ VINA AGRI,"Lot I, Dong Van 2 I.Z, Bach Thuong, Duy Tien, Ha Nam BRANCH: D2 Street, Zone D, Pho Noi A I.Z, Lac Hong, Van Lam, Hung Yen",HA NAM,+842263555222,제조업,https://www.google.com/maps/search/CJ+VINA+AGRI+HA+NAM+Vietnam,4.4,,
CKD BIO CORP,"122 Doi Can, Ba Dinh, Ha Noi",HA NOI,,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/CKD+BIO+CORP+HA+NOI+Vietnam,4.3,,
"CKJ VINA CO.,LTD","La Giang, Van To, Tu Ky, Hai Duong",HAI DUONG,,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/CKJ+VINA+CO.,LTD+HAI+DUONG+Vietnam",3.9,,
"CKS ELECTRONICS CO.,LTD","Khac Niem I.P, Khac Niem, Bac Ninh",BAC NINH,+842223737819,제조업,"https://www.google.com/maps/search/CKS+ELECTRONICS+CO.,LTD+BAC+NINH+Vietnam",4.3,,
CLARK MATERIAL HANDLING VIET NAM,"Km 38 Quốc Lộ 5, X. Cẩm phúc, H. Cẩm Giàng,Hải Dương",HAI DUONG,+842203556855,제조업,https://www.google.com/maps/search/CLARK+MATERIAL+HANDLING+VIET+NAM+HAI+DUONG+Vietnam,4.6,,
CLASSONE VINA,"SO 15, Lo 11B, Trung Yen 10, KDT Trung Yen, Trung Hoa, Cau Giay, Hanoi",HA NOI,+842436858899,건설 및 건설자재,https://www.google.com/maps/search/CLASSONE+VINA+HA+NOI+Vietnam,4.4,,
CLEAN TECHNOLOGY SYSTEM,"Binh Thuan 2, Thuan Giao, Thuan An, Binh Duong",BINH DUONG,+842743788253,제조업,https://www.google.com/maps/search/CLEAN+TECHNOLOGY+SYSTEM+BINH+DUONG+Vietnam,4.7,,
"CLOVER FILTER VINA CO.,LTD","Dai Dong Hoan Son I.P, Hoan Son, Tien Du, Bac Ninh",BAC NINH,+842223848610,"환경, 설비, 기계","https://www.google.com/maps/search/CLOVER+FILTER+VINA+CO.,LTD+BAC+NINH+Vietnam",,,
C-MAT,"Km6, 5/2 Str., Hung Vuong, Hong Bang, Hai Phong",HAI PHONG,+842253668643,"전자, 전기 제조업",https://www.google.com/maps/search/C-MAT+HAI+PHONG+Vietnam,,,
"CMC GLOBAL Ltd.,","8th 9th Floor, CMC Tower, 11 Duy Tan, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,+842471096686,"통신, IT, SW","https://www.google.com/maps/search/CMC+GLOBAL+Ltd.,+HA+NOI+Vietnam",4.6,,
CMES INC,"""서울특별시 강남구 도산대로 318, 7층 1,2호 8층 1,2호(논현동, SB타워) 7F, 8F, 318, Dosan-daero, Gangnam-gu, Seoul, Republic of Korea  TM01-37, Tầng 1, Toà W2 Vinhome Westpoint, lô HH, đường Phạm Hùng, phường Mễ Trì, quận NamTừ Liêm, thành phố Hà Nội""",HA NOI,+842432022900,제조업,https://www.google.com/maps/search/CMES+INC+HA+NOI+Vietnam,4.0,,
"CMH Co.,Ltd","Doi 1, Phu Tai 1. Kim Dinh, KIm Thanh, Hai Duong",HAI DUONG,+84377745775,건설 및 건설자재,"https://www.google.com/maps/search/CMH+Co.,Ltd+HAI+DUONG+Vietnam",4.4,,
"CMS VINA CO.,LTD","Lo 10A, Quang Minh I.Z, Me Linh, Hanoi",HA NOI,+842435251861,제조업,"https://www.google.com/maps/search/CMS+VINA+CO.,LTD+HA+NOI+Vietnam",4.7,,
CN PLUS VINA,"Luong Son IZ, Km36, 6 Highway, Hoa Son, Luong Hoa, Hoa Binh",HOA BINH,+842183826970,"전자, 전기 제조업",https://www.google.com/maps/search/CN+PLUS+VINA+HOA+BINH+Vietnam,4.8,,
CNCTech Group Joint Stock company,"Lot F1-2-3 Thang Long VINH PHUC Industrial Park, Tam Hop ward, Binh Xuyen District, VINH PHUC province, Vietnam",VINH PHUC,+84866505509,부동산개발.임대,https://www.google.com/maps/search/CNCTech+Group+Joint+Stock+company+VINH+PHUC+Vietnam,4.1,,
CNI VINA,"KCN Que Vo(khu vuc mo rong), X. Phuong Lieu, Que Vo, Bac Ninh",BAC NINH,+8422239523,"전자, 전기 제조업",https://www.google.com/maps/search/CNI+VINA+BAC+NINH+Vietnam,3.9,,
"CNM KH VIET NAM Co.,Ltd","Lot A1, Dai Dong-Hoan Son I.Z, Hoan Son, Tien Du, Bac Ninh",BAC NINH,+842226507000,제조업,"https://www.google.com/maps/search/CNM+KH+VIET+NAM+Co.,Ltd+BAC+NINH+Vietnam",4.4,,
